Date,Close/Last,Volume,Open,High,Low
12/19/2023,$196.94,40714050,$196.16,$196.95,$195.89
12/18/2023,$195.89,55751860,$196.09,$196.63,$194.39
12/15/2023,$197.57,128538400,$197.53,$198.3999,$197.00
12/14/2023,$198.11,66831570,$198.02,$199.62,$196.16
12/13/2023,$197.96,70404180,$195.09,$198.00,$194.85
12/12/2023,$194.71,52696900,$193.08,$194.72,$191.721
12/11/2023,$193.18,60943700,$193.11,$193.49,$191.42
12/08/2023,$195.71,53406360,$194.20,$195.99,$193.67
12/07/2023,$194.27,47477660,$193.63,$195.00,$193.59
12/06/2023,$192.32,41089740,$194.45,$194.76,$192.11
12/05/2023,$193.42,66628400,$190.21,$194.40,$190.18
12/04/2023,$189.43,43389520,$189.98,$190.05,$187.4511
12/01/2023,$191.24,45704820,$190.33,$191.56,$189.23
11/30/2023,$189.95,48794370,$189.84,$190.32,$188.19
11/29/2023,$189.37,43014220,$190.90,$192.09,$188.97
11/28/2023,$190.40,38415420,$189.78,$191.08,$189.40
11/27/2023,$189.79,40552610,$189.92,$190.67,$188.90
11/24/2023,$189.97,24048340,$190.87,$190.90,$189.25
11/22/2023,$191.31,39630010,$191.49,$192.93,$190.825
11/21/2023,$190.64,38134490,$191.41,$191.52,$189.74
11/20/2023,$191.45,46538610,$189.89,$191.905,$189.88
